time,open,high,low,close,volume
1970-01-01 00:32:00,88.16,95.63,77.65,95.62,164
1970-01-01 00:32:10,95.62,99.61,73.8,99.61,155
1970-01-01 00:32:20,99.2,102.07,69.95,100.21,162
1970-01-01 00:32:30,69.97,104.47,67.86,68.06,155
1970-01-01 00:32:40,68.32,107.76,63.31,63.31,135
1970-01-01 00:32:50,63.31,108.67,59.81,59.84,130
1970-01-01 00:33:00,59.9,62.11,58.27,60.99,177
1970-01-01 00:33:10,60.99,62.11,58.03,62.11,165
1970-01-01 00:33:20,61.88,64.28,57.27,63.67,138
1970-01-01 00:33:30,63.68,65.34,60.12,64.04,132
1970-01-01 00:33:40,64.52,67.34,63.61,63.61,143
1970-01-01 00:33:50,63.51,68.33,63.16,63.73,176
1970-01-01 00:34:00,63.74,67.64,61.7,67.29,176
1970-01-01 00:34:10,67.2,68.19,64.58,66.7,175
1970-01-01 00:34:20,67.62,67.77,62.19,62.36,136
1970-01-01 00:34:30,62.36,69.51,59.88,61.54,157
1970-01-01 00:34:40,61.54,65.1,57.61,65.1,155
1970-01-01 00:34:50,65.2,68.52,56.53,66.09,158
1970-01-01 00:35:00,66.23,72.15,64.15,71.81,146
1970-01-01 00:35:10,71.7,74.58,63.67,69.56,162
1970-01-01 00:35:20,69.56,71.42,66.69,70.02,164
1970-01-01 00:35:30,69.52,73.87,66.03,73.76,147
1970-01-01 00:35:40,73.59,77.16,67.68,75.02,173
1970-01-01 00:35:50,74.52,76.16,70.73,71.05,160
1970-01-01 00:36:00,71.08,78.86,68.86,68.86,116
1970-01-01 00:36:10,68.86,72.67,66.14,72.67,173
1970-01-01 00:36:20,72.67,77.21,64.16,76.95,138
1970-01-01 00:36:30,77.47,79.43,73.27,78.21,201
1970-01-01 00:36:40,72.65,80.2,70.96,79.1,125
1970-01-01 00:36:50,79.23,80.63,68.69,72.62,158
1970-01-01 00:37:00,72.64,75.7,67.89,67.89,161
1970-01-01 00:37:10,67.87,80.47,66.28,79.93,154
1970-01-01 00:37:20,76.9,85.34,76.9,85.18,78
1970-01-01 00:37:30,85.18,86.29,74.88,75.13,238
1970-01-01 00:37:40,75.55,79.5,69.83,69.83,123
1970-01-01 00:37:50,69.83,80.26,68.91,79.31,121
1970-01-01 00:38:00,79.31,82.28,78.43,82.28,180
1970-01-01 00:38:10,82.55,85.66,77.21,85.2,172
1970-01-01 00:38:20,85.2,86.04,78.15,78.88,149
1970-01-01 00:38:30,77.45,82.73,76.75,77.47,181
1970-01-01 00:38:40,77.5,83.29,75.59,82.77,101
1970-01-01 00:38:50,82.77,86.54,70.51,70.51,207
1970-01-01 00:39:00,70.51,78.24,69.8,75.38,151
1970-01-01 00:39:10,74.8,82.62,73.38,74.14,161
1970-01-01 00:39:20,81.93,83.94,71.18,83.45,125
1970-01-01 00:39:30,83.39,86.88,66.68,66.72,155
1970-01-01 00:39:40,66.72,92.78,66.14,92.78,148
1970-01-01 00:39:50,93.16,95.7,84.41,88.03,147
1970-01-01 00:40:00,87.96,94.49,81.4,81.4,170
1970-01-01 00:40:10,81.23,94.84,78.74,79.23,108
1970-01-01 00:40:20,78.69,96.49,77.03,95.0,204
1970-01-01 00:40:30,95.58,96.75,75.82,75.82,99
1970-01-01 00:40:40,75.7,99.82,71.79,71.79,195
1970-01-01 00:40:50,72.28,74.04,69.95,70.22,130
1970-01-01 00:41:00,70.22,76.42,69.27,76.42,178
1970-01-01 00:41:10,76.42,78.82,69.13,77.17,153
1970-01-01 00:41:20,77.17,82.53,75.25,75.28,159
1970-01-01 00:41:30,75.65,84.74,71.93,71.93,148
1970-01-01 00:41:40,72.01,87.59,71.2,87.03,160
1970-01-01 00:41:50,87.74,90.46,69.95,69.95,148
1970-01-01 00:42:00,69.33,93.13,67.42,67.45,149
1970-01-01 00:42:10,67.45,95.62,66.11,95.62,177
1970-01-01 00:42:20,95.59,104.01,93.42,102.9,134
1970-01-01 00:42:30,102.19,103.73,91.56,91.56,152
1970-01-01 00:42:40,90.87,98.4,90.12,97.59,158
1970-01-01 00:42:50,97.59,102.09,89.67,93.95,164
1970-01-01 00:43:00,93.03,105.52,92.12,104.9,134
1970-01-01 00:43:10,105.19,110.0,100.16,105.21,145
1970-01-01 00:43:20,105.37,114.0,103.41,111.93,171
1970-01-01 00:43:30,111.17,124.2,106.95,123.41,136
1970-01-01 00:43:40,123.41,126.7,119.5,125.08,147
1970-01-01 00:43:50,121.96,128.5,119.01,120.74,143
1970-01-01 00:44:00,119.02,128.76,115.69,123.08,165
1970-01-01 00:44:10,123.15,126.1,117.08,124.02,156
1970-01-01 00:44:20,124.06,132.32,120.88,131.73,153
