time,price
1663001,81.60
1663201,81.59
1663401,81.59
1663601,81.16
1663801,81.36
1663801,81.09
1664001,81.36
1664001,81.82
1664001,82.27
1664001,82.35
1664001,81.92
1664001,80.98
1664001,81.59
1664001,81.66
1664001,80.90
1664001,82.69
1664401,80.69
1664401,81.73
1664401,81.37
1664401,81.51
1664401,81.67
1664401,80.57
1665001,81.66
1665001,81.66
1665201,81.66
1665401,81.66
1665401,82.43
1665401,81.83
1665401,81.91
1665401,82.05
1666201,82.22
1666201,82.22
1666401,82.22
1666601,82.22
1666801,82.22
1667001,82.22
1667201,82.22
1667401,82.22
1667801,82.22
1668001,82.22
1668001,82.22
1668201,82.22
1668201,82.22
1668401,82.22
1668401,82.22
1668601,82.22
1668601,82.22
1668601,82.51
1668601,82.57
1668601,82.81
1668601,82.54
1668601,83.21
1668601,82.23
1668601,82.24
1668601,82.33
1668601,82.96
1668601,82.88
1668601,82.96
1668601,83.00
1668601,82.97
1668601,82.92
1668601,82.95
1668801,82.55
1668801,82.22
1669001,82.82
1669201,82.44
1669401,82.95
1669401,83.49
1669801,83.74
1670001,83.29
1670001,83.05
1670001,82.89
1670001,80.53
1670001,81.29
1670001,83.12
1670001,81.12
1670001,81.43
1670001,81.47
1670001,81.54
1670001,81.42
1670001,81.66
1670001,84.12
1670001,83.81
1670001,83.54
1670001,81.74
1670001,81.55
1670001,81.70
1670001,81.66
1670001,81.78
1670001,81.66
1670001,82.00
1670001,81.94
1670001,81.78
1670001,81.75
1670001,81.77
1670001,82.22
1670001,81.84
1670001,81.80
1670001,82.22
1670001,82.05
1670001,80.35
1670001,82.16
1670001,82.67
1670001,82.22
1670001,82.26
1670401,79.89
1670401,79.89
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672401,79.16
1672601,79.16
1672801,79.15
1672801,79.15
1673201,79.15
1673401,79.15
1673601,79.15
1673801,79.15
1673801,78.68
1673801,78.64
1673801,79.15
1673801,78.81
1674201,77.89
1674401,77.89
1674601,77.89
1674801,77.89
1675201,77.89
1675201,77.89
1675401,77.89
1675601,77.89
1675601,77.89
1675601,77.79
1675801,77.89
1675801,78.23
1675801,78.28
1675801,78.43
1675801,80.09
1675801,80.02
1675801,84.24
1675801,79.98
1675801,80.01
1675801,80.68
1675801,80.52
1675801,80.49
1675801,80.35
1675801,80.19
1675801,78.23
1675801,79.90
1675801,79.92
1675801,79.84
1675801,79.89
1675801,78.03
1675801,78.07
1675801,78.14
1675801,79.84
1675801,79.76
1675801,79.74
1675801,79.75
1675801,79.56
1675801,79.60
1675801,79.65
1675801,79.59
1675801,79.46
1675801,79.22
1675801,79.34
1675801,79.43
1675801,79.41
1675801,79.29
1675801,79.26
1675801,79.27
1675801,79.18
1675801,84.22
1675801,78.72
1675801,80.36
1675801,80.34
1675801,80.13
1675801,79.15
1675801,79.16
1675801,79.16
1675801,78.46
1675801,78.61
1675801,78.51
1676201,84.22
1676201,77.87
1676201,84.06
1676401,84.75
1676401,84.75
1676601,84.75
1676601,84.75
1676801,77.87
1676801,77.87
1676801,77.87
1676801,77.87
1676801,77.53
1676801,84.40
1676801,84.09
1676801,83.47
1676801,77.31
1676801,77.28
1676801,77.87
1676801,77.61
1676801,77.74
1677001,77.06
1677201,76.85
1677601,76.87
1677801,76.87
1677801,76.14
1677801,76.08
1677801,76.57
1677801,76.52
1677801,76.52
1677801,75.67
1678001,75.41
1678201,75.78
1678801,75.41
1679001,75.41
1679201,75.41
1679201,75.63
1679201,75.91
1679201,75.98
1679201,76.18
1679201,75.93
1679201,77.34
1679201,75.80
1679201,75.81
1679201,75.85
